Doc2Vec,Markov,Euclidean,Manhattan,Jaccard,Space_NewLine,BraceSimilarity,CommentSimilarity,CodeStyleSimilarity,LCS_Score,LevenshteinScore,Veredict
0.6325,0.3289,5.673028028589619,36.61414681375027,0.7948717948717948,0.036662452591656125,0.11904761904761904,0.07142857142857142,0.07571288102261553,0.6737089201877934,0.7511737089201878,1
0.4258,0.2745,7.633853827728812,48.62958261370659,0.5957446808510638,0.03878667329686725,0.10526315789473684,0.1,0.0813499437305347,0.7045951859956237,0.6214442013129103,1
0.6605,0.287,5.517739516558356,34.97045646235347,0.8378378378378378,0.03308641975308646,0.1,0.14285714285714285,0.09198118753674311,0.7864321608040201,0.7713567839195979,1
0.9856,1.0,1.6365887486025172,10.693354898132384,1.0,1.0,0.09090909090909091,1.0,0.6969696969696969,1.0,0.0,1
0.785,0.5914,4.471845375186125,26.67695864289999,0.8780487804878049,0.529262086513995,0.08152173913043478,0.07142857142857142,0.22740413235766707,0.8996282527881041,0.26394052044609667,1
0.7344,0.2624,4.714310416483363,28.77125209569931,0.8947368421052632,0.23101777059773831,0.125,1.0,0.45200592353257946,0.8532110091743119,0.18960244648318042,1
0.9685,0.4772,1.886682289224112,12.144157223403454,0.9696969696969697,0.21690590111642738,0.125,1.0,0.44730196703880915,0.9368191721132898,0.1786492374727669,1
0.2826,0.3906,9.71672275076205,61.59188508987427,0.8333333333333334,0.18451400329489287,0.08333333333333333,0.1,0.1226157788760754,0.8226299694189603,0.41896024464831805,1
0.8585,0.6066,4.970003966965858,31.63598419725895,0.9230769230769231,0.5264623955431755,0.09090909090909091,1.0,0.5391238288174222,0.6361607142857143,0.4419642857142857,1
0.7539,0.3161,5.007620749646218,29.313822984695435,0.8888888888888888,0.35370823145884267,0.011164274322169059,0.0136986301369863,0.12619037863933266,0.9004739336492891,1.132701421800948,1
0.6605,0.4914,5.683200228402919,33.141000866889954,0.8222222222222222,0.965287049399199,0.09523809523809523,1.0,0.6868417148790981,0.7896174863387978,0.32786885245901637,1
0.6722,0.1988,5.875307212617788,36.65500720217824,0.813953488372093,0.7536382536382537,0.06349206349206349,0.25,0.35571010571010575,0.7423469387755102,0.34183673469387754,1
0.8663,0.3067,3.9528256583281527,23.85624911636114,0.9393939393939394,0.6071428571428572,0.10416666666666667,1.0,0.570436507936508,0.7262773722627737,0.33394160583941607,1
0.8029,0.6412,4.853399397425473,28.525870576500893,0.9767441860465116,0.8502604166666666,0.05555555555555555,1.0,0.6352719907407408,1.0,0.27607361963190186,1
0.3414,0.3918,7.29613440359982,45.86554952710867,0.7692307692307693,0.5997383911052976,0.04029692470837752,0.08490566037735849,0.24164699206367787,0.7768361581920904,1.0,1
0.9872,1.0,1.3483584150680528,8.429364658892155,1.0,0.996,0.06896551724137931,1.0,0.6883218390804599,1.0,0.0,1
0.867,0.53,3.6142675659332846,22.560400992631912,0.8823529411764706,0.18518518518518523,0.125,1.0,0.4367283950617284,0.7430167597765364,0.2877094972067039,1
0.7797,0.5136,4.585626218278051,27.080527499318123,0.8571428571428571,0.08067542213883683,0.11764705882352941,1.0,0.3994408269874554,0.5593607305936074,0.4931506849315068,1
0.9717,0.5651,1.720114941605338,10.763525828719139,1.0,0.8333333333333334,0.2,1.0,0.6777777777777777,0.8463949843260188,0.20689655172413793,1
0.6706,0.4732,5.545837196194983,33.43463961780071,0.8571428571428571,0.5425824175824177,0.09523809523809523,0.024390243902439025,0.22073691890765065,0.5492227979274611,0.6217616580310881,1
0.9661,0.2446,1.5381047890202801,9.513633119873703,0.90625,0.23670212765957444,0.3333333333333333,0.5,0.3566784869976359,0.9745454545454545,0.2109090909090909,1
0.9286,0.1953,2.206639051615786,13.909926004707813,0.8787878787878788,0.19759036144578312,0.2,1.0,0.46586345381526106,0.7468354430379747,0.41139240506329117,1
0.8486,0.593,3.3313807691581543,21.403588727116585,0.9666666666666667,0.27301587301587305,0.16666666666666666,1.0,0.47989417989418,0.9302325581395349,0.2026578073089701,1
0.9776,1.0,1.2563337782884416,7.661526784300804,1.0,1.0,0.3333333333333333,1.0,0.7777777777777777,1.0,0.0,1
