Doc2Vec,Markov,Euclidean,Manhattan,Jaccard,Space_NewLine,BraceSimilarity,CommentSimilarity,CodeStyleSimilarity,LCS_Score,LevenshteinScore,Veredict
0.9842,1.0,0.7779753923815512,4.810112617909908,0.9047619047619048,0.9358974358974359,0.3333333333333333,0.21428571428571427,0.4945054945054945,0.9838709677419355,0.016129032258064516,1
0.9861,1.0,1.1264646905563314,6.6635792795568705,0.9393939393939394,0.9952380952380953,0.13333333333333333,0.17647058823529413,0.4350140056022409,0.9941176470588236,0.0058823529411764705,1
0.6083,0.2987,6.8364974658692885,40.08920247852802,0.72,0.3950762016412661,0.045,0.0,0.14669206721375536,0.6270627062706271,0.48514851485148514,1
0.9937,1.0,1.2033949592023263,7.2310379557311535,0.7391304347826086,0.9980119284294234,0.06451612903225806,1.0,0.6875093524872272,0.9829059829059829,0.017094017094017096,1
0.9856,0.9946,1.631884571887044,10.482286550104618,1.0,0.693661971830986,0.0763888888888889,0.14285714285714285,0.3043026678590059,1.0,0.002145922746781116,1
0.4826,0.4592,6.0670641686742535,36.762526504695415,0.5666666666666667,0.703448275862069,0.3333333333333333,0.125,0.3872605363984674,0.7777777777777778,0.4567901234567901,0
0.5776,0.8144,5.835297113658628,35.659312307834625,0.5862068965517241,0.7016129032258065,0.5,0.06666666666666667,0.4227598566308244,0.8679245283018868,0.8490566037735849,0
0.5175,0.4639,7.426471117113009,41.71271547675133,0.9069767441860465,0.22085201793721976,0.09070294784580499,0.16666666666666666,0.1594072108165638,0.7785714285714286,0.26666666666666666,0
0.4411,0.3375,10.53233916692724,67.9172875136137,0.5,0.2919621749408984,0.08333333333333333,0.02040816326530612,0.13190122384651262,0.40987124463519314,0.6416309012875536,0
0.9277,0.3388,4.042766701529118,25.234111208468676,0.66,0.8667763157894737,0.04878048780487805,1.0,0.6385189345314506,0.7761904761904762,0.2761904761904762,0
